Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,Branch Age,Year_Since_Acquisition,Total_Deposits,Growth_%,CAGR
JPMorgan Chase Bank,0,East Farmingdale Branch,239,1971-04-28,1975-01-18,1745 Broad Hollow Road,East Farmingdale,Suffolk,NY,11735,40.74442,-73.42264,62842.0,95038.0,89987.0,122210.0,151270.0,132133.0,186493,55,51,839973.0,196.76490245377295,19.876877693381132
JPMorgan Chase Bank,0,Arthur Avenue Branch,245,1952-11-24,1975-01-18,2402 Arthur Avenue,Bronx,Bronx,NY,10458,40.8558,-73.88736,91268.0,89264.0,91370.0,98079.0,100594.0,104040.0,115766,74,51,690381.0,26.841828461235046,4.042412915298743
JPMorgan Chase Bank,0,Madison Avenue & 86th Street Branch,247,1964-04-05,1975-01-18,12 East 86th Street,New York City,New York,NY,10028,40.78133,-73.96007,409788.0,464061.0,482450.0,467755.0,463682.0,461811.0,482959,62,51,3232506.0,17.85581813035033,2.7760299878946126
JPMorgan Chase Bank,0,Hauppauge Branch,255,1972-05-24,1975-01-18,200 Motor Parkway,Hauppauge,Suffolk,NY,11788,40.80679,-73.25463,169328.0,177093.0,197653.0,208731.0,220078.0,250431.0,280743,54,51,1504057.0,65.79833223093641,8.791932908544474
JPMorgan Chase Bank,0,Macarthur Airport Vets Hwy Branch,257,1972-10-25,1975-01-18,4155 Veterans Memorial Highway,Ronkonkoma,Suffolk,NY,11779,40.78232,-73.09576,122497.0,116919.0,129243.0,132146.0,144141.0,152568.0,167321,54,51,964835.0,36.59191653673151,5.334547300933967
JPMorgan Chase Bank,0,Smithtown Branch,272,1956-12-01,1975-10-11,42 West Main Street,Smithtown,Suffolk,NY,11787,40.85479,-73.19593,185851.0,190827.0,197592.0,220513.0,223066.0,242579.0,279616,70,51,1540044.0,50.451705936475996,7.044950599694322
JPMorgan Chase Bank,0,Stony Brook Branch,276,1970-03-04,1975-10-11,2210 Nesconset Highway,Stony Brook,Suffolk,NY,11790,40.87261,-73.12509,186061.0,207307.0,186930.0,193516.0,213523.0,216289.0,229279,56,51,1432905.0,23.227866129925133,3.5423827026764387
JPMorgan Chase Bank,0,Fort Salonga Branch,284,1974-05-31,1975-10-11,2 Fort Salonga Road,Fort Salonga,Suffolk,NY,11768,40.9124,-73.30051,87282.0,72358.0,88157.0,101644.0,102771.0,104226.0,132302,52,51,688740.0,51.57993629843496,7.178321997224257
JPMorgan Chase Bank,0,Nanuet Driveup Branch,287,1961-08-15,1977-01-04,39 Smith Street,Nanuet,Rockland,NY,10954,41.11233,-74.01439,190614.0,202278.0,214019.0,225500.0,232985.0,231234.0,237031,65,49,1533661.0,24.35130682950885,3.6991171366304476
JPMorgan Chase Bank,0,New York North Branch,288,1958-02-15,1977-01-04,333 Route 303,Orangeburg,Rockland,NY,10962,41.04667,-73.94522,121750.0,131683.0,178281.0,165874.0,169818.0,167399.0,184491,68,49,1119296.0,51.53264887063656,7.172748649590077
JPMorgan Chase Bank,0,Valley Cottage Branch,290,1963-02-12,1977-01-04,124 Route 303,Valley Cottage,Rockland,NY,10989,41.11734,-73.94144,107207.0,111976.0,126575.0,129650.0,145166.0,152451.0,153305,63,49,926330.0,42.999057897338794,6.1423900812324295
JPMorgan Chase Bank,0,Yankee Stadium Branch,363,1928-10-20,1981-10-26,76 East 161st Street,Bronx,Bronx,NY,10451,40.82725,-73.92476,99634.0,108556.0,104552.0,112101.0,116762.0,121525.0,3480,98,45,666610.0,-96.50721641206816,-42.82643413625824
JPMorgan Chase Bank,0,Broadway and 79th Street Branch,425,1969-01-10,1990-09-11,2219 Broadway,New York City,New York,NY,10024,40.7839,-73.98015,395943.0,412710.0,489051.0,516803.0,584403.0,555985.0,584026,57,36,3538921.0,47.502544558181356,6.69234289532783
JPMorgan Chase Bank,0,Morris Park Branch,433,1983-08-31,1991-07-19,1068 Morris Park Avenue,Bronx,Bronx,NY,10461,40.84911,-73.85402,126512.0,129094.0,136031.0,145582.0,151088.0,164809.0,223222,43,35,1076338.0,76.4433413431137,9.926114867876112
JPMorgan Chase Bank,0,Tottenville Branch,444,1974-08-23,1991-08-11,280 Page Avenue,Staten Island,Richmond,NY,10307,40.51718,-74.23413,100874.0,106069.0,105249.0,124999.0,136014.0,152985.0,163243,52,35,889433.0,61.828617879731155,8.353402658221531
JPMorgan Chase Bank,0,Brentwood Branch,452,1936-01-12,1992-03-13,1800 Brentwood Road,Brentwood,Suffolk,NY,11717,40.77857,-73.24617,67617.0,71120.0,70120.0,77884.0,78620.0,81544.0,88342,90,34,535247.0,30.650576038570183,4.556704931044275
JPMorgan Chase Bank,0,Lake Ronkonkoma Branch,458,1965-07-23,1992-03-13,601 Portion Road Lake Shore Plaza,Lake Ronkonkoma,Suffolk,NY,11779,40.83041,-73.09187,136362.0,142057.0,164646.0,161146.0,162623.0,161719.0,172494,61,34,1101047.0,26.497117965415583,3.995234484568333
JPMorgan Chase Bank,0,Bellmore Branch,465,1966-02-21,1992-06-20,2631 Merrick Road,Bellmore,Nassau,NY,11710,40.66299,-73.52854,157461.0,171357.0,180755.0,179743.0,193951.0,205398.0,218548,60,34,1307213.0,38.79500320714336,5.615819180953041
JPMorgan Chase Bank,0,Allerton Avenue Branch,466,1936-01-08,1992-06-20,748 Allerton Avenue,Bronx,Bronx,NY,10467,40.8654,-73.86543,66486.0,67543.0,63695.0,66252.0,70273.0,76970.0,82549,90,34,493768.0,24.159973528261588,3.6725072747302745
JPMorgan Chase Bank,0,Riverdale North Branch,467,1963-04-29,1992-06-20,5656 Riverdale Avenue,Bronx,Bronx,NY,10471,40.90559,-73.90439,96722.0,102128.0,107326.0,118795.0,130364.0,127864.0,139053,63,34,822252.0,43.765637600545894,6.23701244290098
JPMorgan Chase Bank,0,Boynton Avenue Branch,469,1927-04-14,1992-06-20,1536 Westchester Avenue,Bronx,Bronx,NY,10472,40.82864,-73.87836,38890.0,39441.0,45274.0,50041.0,56442.0,60162.0,61872,99,34,352122.0,59.09488300334276,8.046167983013186
JPMorgan Chase Bank,0,City Island Branch,470,1939-05-15,1992-06-20,207 City Island Avenue,Bronx,Bronx,NY,10464,40.84425,-73.78537,74028.0,71203.0,74897.0,83269.0,84015.0,81752.0,87474,87,34,556638.0,18.16339763332793,2.8206855117872465
JPMorgan Chase Bank,0,Concourse Branch,471,1926-06-12,1992-06-20,128 East Fordham Road,Bronx,Bronx,NY,10468,40.86236,-73.8981,92532.0,96626.0,103650.0,110381.0,115712.0,123640.0,129136,100,34,771677.0,39.558206890589204,5.7123912434182245
JPMorgan Chase Bank,0,Melrose Branch,472,1949-11-21,1992-06-20,360 East 149th Street,Bronx,Bronx,NY,10455,40.81641,-73.91896,143362.0,139353.0,138835.0,142950.0,142865.0,148608.0,153533,77,34,1009506.0,7.0946275861106844,1.1489271726919492
JPMorgan Chase Bank,0,Mosholu Branch,473,1928-06-15,1992-06-20,3408 Jerome Avenue,Bronx,Bronx,NY,10467,40.881,-73.88322,85813.0,95107.0,98688.0,220304.0,118507.0,118387.0,131595,98,34,868401.0,53.35089089065759,7.386012733225189
